Bin-size	Zeitschritt_0	Zeitschritt_1	Zeitschritt_2	Zeitschritt_3	Zeitschritt_4	Zeitschritt_5	Zeitschritt_6	Zeitschritt_7	Zeitschritt_8	Zeitschritt_9	Zeitschritt_10	Zeitschritt_11	Zeitschritt_12	Zeitschritt_13	Zeitschritt_14	Zeitschritt_15	
17.4753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
18.7382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20.0923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21.5443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
23.1013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
24.7708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
26.5609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
28.4804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
30.5386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
32.7455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
35.1119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
37.6494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
40.3702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
43.2876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
46.4159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
49.7702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
53.367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
57.2237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
61.3591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
65.7933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
70.548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
75.6463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
81.1131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
86.9749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
93.2603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
107.227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
114.976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
123.285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
132.194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
141.747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
151.991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
162.975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
174.753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
187.382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
200.923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
215.443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
231.013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
247.708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
265.609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
284.804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
305.386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
327.455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
351.119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
376.494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
403.702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
432.876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
464.159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
497.702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
533.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
572.237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
613.591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
657.933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
705.48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
756.463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
811.131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
869.749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
932.603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
